Acc.building,Acc.car,Acc.clutter,Acc.impervious_surface,Acc.low_vegetation,Acc.tree,IoU.building,IoU.car,IoU.clutter,IoU.impervious_surface,IoU.low_vegetation,IoU.tree,aAcc,data_time,decode.acc_seg,decode.loss_seg,epoch,iter,lr,mAcc,mIoU,memory,mix.decode.acc_seg,mix.decode.loss_seg,mode,time
,,,,,,,,,,,,,0.01821,70.40067,0.15277,1,2150,5e-05,,,15062,92.56044,0.1757,train,0.66092
,,,,,,,,,,,,,0.01759,68.75596,0.15589,1,2200,5e-05,,,15062,92.56248,0.176,train,0.64992
,,,,,,,,,,,,,0.0184,66.06361,0.21558,1,2250,4e-05,,,15062,92.5011,0.19671,train,0.66003
,,,,,,,,,,,,,0.01789,68.87384,0.15952,1,2300,4e-05,,,15062,92.30588,0.19623,train,0.65509
,,,,,,,,,,,,,0.01774,69.82686,0.16677,1,2350,4e-05,,,15062,93.26908,0.16334,train,0.6497
,,,,,,,,,,,,,0.01869,71.6173,0.16816,1,2400,4e-05,,,15062,92.50708,0.18376,train,0.66805
0.9811,0.9232,0.7054,0.8574,0.8076,0.7087,0.8604,0.4811,0.5508,0.8159,0.6109,0.6433,0.8451,,,,1,398,4e-05,0.8306,0.6604,15062,,,train,28.08986
,,,,,,,,,,,,,0.01938,68.63654,0.15021,1,2450,4e-05,,,15062,92.73467,0.17104,train,0.66553
,,,,,,,,,,,,,0.01802,68.22627,0.1879,1,2500,4e-05,,,15062,92.90619,0.17403,train,0.64229
,,,,,,,,,,,,,0.0194,72.00263,0.15233,1,2550,4e-05,,,15062,93.33319,0.16769,train,0.66911
,,,,,,,,,,,,,0.01866,68.14106,0.17671,1,2600,4e-05,,,15062,92.49652,0.18404,train,0.66039
,,,,,,,,,,,,,0.01755,71.66269,0.14408,1,2650,3e-05,,,15062,92.69538,0.16694,train,0.64893
,,,,,,,,,,,,,0.01841,68.21919,0.15802,1,2700,3e-05,,,15062,92.17138,0.19317,train,0.65988
,,,,,,,,,,,,,0.01797,71.29,0.12879,1,2750,3e-05,,,15062,93.20429,0.16231,train,0.66434
,,,,,,,,,,,,,0.02062,67.59319,0.15451,1,2800,3e-05,,,15062,92.14362,0.18775,train,0.6878
0.9794,0.9578,0.6405,0.8439,0.8226,0.6817,0.8682,0.411,0.4439,0.8081,0.6043,0.6229,0.8378,,,,1,398,3e-05,0.821,0.6264,15062,,,train,29.35386
,,,,,,,,,,,,,0.01841,67.15347,0.14171,1,2850,3e-05,,,15062,93.18102,0.15205,train,0.66113
,,,,,,,,,,,,,0.01796,68.65125,0.14702,1,2900,3e-05,,,15062,93.59123,0.1499,train,0.64963
,,,,,,,,,,,,,0.01839,69.3776,0.13295,1,2950,3e-05,,,15062,93.88236,0.14586,train,0.66046
,,,,,,,,,,,,,0.01864,70.36173,0.12801,1,3000,3e-05,,,15062,94.11618,0.1402,train,0.71868
,,,,,,,,,,,,,0.01785,70.5396,0.14157,1,3050,2e-05,,,15062,94.18143,0.13911,train,0.656
,,,,,,,,,,,,,0.01907,71.06335,0.14175,1,3100,2e-05,,,15062,93.49634,0.15135,train,0.66515
,,,,,,,,,,,,,0.01889,69.20722,0.14675,1,3150,2e-05,,,15062,93.54399,0.15281,train,0.67135
,,,,,,,,,,,,,0.01789,69.45025,0.13287,1,3200,2e-05,,,15062,94.2784,0.13766,train,0.65242
0.979,0.9588,0.5427,0.8678,0.8031,0.7482,0.8831,0.41,0.4858,0.8237,0.6213,0.6724,0.8541,,,,1,398,2e-05,0.8166,0.6494,15062,,,train,27.97474
,,,,,,,,,,,,,0.01872,70.15966,0.13947,1,3250,2e-05,,,15062,93.36218,0.15413,train,0.65942
,,,,,,,,,,,,,0.01782,70.5561,0.13172,1,3300,2e-05,,,15062,93.96719,0.14263,train,0.64739
,,,,,,,,,,,,,0.01743,69.35688,0.1441,1,3350,2e-05,,,15062,93.99314,0.14692,train,0.6477
,,,,,,,,,,,,,0.01821,69.22337,0.13143,1,3400,2e-05,,,15062,93.91702,0.13748,train,0.65717
,,,,,,,,,,,,,0.01762,69.43756,0.12608,1,3450,1e-05,,,15062,94.62254,0.12532,train,0.65239
,,,,,,,,,,,,,0.01818,71.08931,0.12692,1,3500,1e-05,,,15062,95.10641,0.11869,train,0.65517
,,,,,,,,,,,,,0.01758,71.95788,0.14938,1,3550,1e-05,,,15062,94.0935,0.1445,train,0.65537
,,,,,,,,,,,,,0.01712,72.20622,0.11531,1,3600,1e-05,,,15062,94.53645,0.12453,train,0.64285
0.9798,0.9397,0.4921,0.8587,0.8325,0.7472,0.8797,0.4654,0.4213,0.8224,0.6335,0.6829,0.8573,,,,1,398,1e-05,0.8083,0.6509,15062,,,train,27.29542
,,,,,,,,,,,,,0.0192,72.11807,0.13708,1,3650,1e-05,,,15062,94.58892,0.13233,train,0.66352
,,,,,,,,,,,,,0.01927,68.57097,0.12457,1,3700,1e-05,,,15062,94.69167,0.11963,train,0.664
,,,,,,,,,,,,,0.02106,69.41599,0.13633,1,3750,1e-05,,,15062,94.34151,0.12939,train,0.69389
,,,,,,,,,,,,,0.02439,69.21745,0.12773,1,3800,1e-05,,,15062,94.50019,0.1297,train,0.75627
,,,,,,,,,,,,,0.02378,69.3891,0.12516,1,3850,0.0,,,15062,94.45091,0.13409,train,0.75899
,,,,,,,,,,,,,0.02469,69.08687,0.11674,1,3900,0.0,,,15062,94.65833,0.1243,train,0.76392
,,,,,,,,,,,,,0.02437,67.81945,0.11942,1,3950,0.0,,,15062,94.77627,0.12043,train,0.75634
